indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
002594.SZ,20251023,103.69,1.0857,1.5408,0.88,23.4847,22.4372,4.492,1.2165,1.1158,0.9958,1.2775,911719.7565,348724.1823,245715.3663,94536221.5515,36159210.4627
002594.SZ,20251022,103.78,1.0262,1.4565,0.79,23.5051,22.4567,4.4959,1.2176,1.1168,0.995,1.2764,911719.7565,348724.1823,245715.3663,94618276.3296,36190595.6391
002594.SZ,20251021,104.76,0.8576,1.2172,0.54,23.7271,22.6688,4.5384,1.2291,1.1273,0.9857,1.2645,911719.7565,348724.1823,245715.3663,95511761.6909,36532345.3377
002594.SZ,20251020,104.52,1.0198,1.4473,0.57,23.6727,22.6168,4.528,1.2263,1.1247,0.9879,1.2674,911719.7565,348724.1823,245715.3663,95292948.9494,36448651.534
002594.SZ,20251017,104.43,1.7943,2.5465,1.01,23.6523,22.5974,4.5241,1.2252,1.1238,0.9888,1.2685,911719.7565,348724.1823,245715.3663,95210894.1713,36417266.3576
002594.SZ,20251016,106.96,1.5,2.1289,0.73,24.2253,23.1448,4.6337,1.2549,1.151,0.9654,1.2385,911719.7565,348724.1823,245715.3663,97517545.1552,37299538.5388
002594.SZ,20251015,107.1,1.3644,1.9364,0.65,24.2571,23.1751,4.6398,1.2565,1.1525,0.9641,1.2369,911719.7565,348724.1823,245715.3663,97645185.9212,37348359.9243
002594.SZ,20251014,105.99,2.2017,3.1247,1.09,24.0057,22.9349,4.5917,1.2435,1.1405,0.9742,1.2498,911719.7565,348724.1823,245715.3663,96633176.9914,36961276.082
002594.SZ,20251013,105.69,2.1347,3.0296,1.05,23.9377,22.87,4.5787,1.24,1.1373,0.977,1.2534,911719.7565,348724.1823,245715.3663,96359661.0645,36856658.8273
002594.SZ,20251010,107.79,1.6922,2.4016,0.81,24.4133,23.3244,4.6697,1.2646,1.1599,0.958,1.2289,911719.7565,348724.1823,245715.3663,98274272.5531,37588979.6101
002594.SZ,20251009,110.6,2.8926,4.1052,1.59,25.0498,23.9325,4.7914,1.2976,1.1901,0.9336,1.1977,911719.7565,348724.1823,245715.3663,100836205.0689,38568894.5624
002594.SZ,20250930,109.21,1.6281,2.3106,0.87,24.7349,23.6317,4.7312,1.2813,1.1752,0.9455,1.213,911719.7565,348724.1823,245715.3663,99568914.6074,38084167.949
002594.SZ,20250929,108.61,1.7607,2.4988,0.98,24.5991,23.5019,4.7052,1.2742,1.1687,0.9507,1.2197,911719.7565,348724.1823,245715.3663,99021882.7535,37874933.4396
002594.SZ,20250926,107.29,2.1697,3.0792,1.32,24.3001,23.2162,4.648,1.2588,1.1545,0.9624,1.2347,911719.7565,348724.1823,245715.3663,97818412.6749,37414617.519
002594.SZ,20250925,107.5,1.9886,2.8223,1.12,24.3477,23.2617,4.6571,1.2612,1.1568,0.9605,1.2322,911719.7565,348724.1823,245715.3663,98009873.8238,37487849.5973
002594.SZ,20250924,105.71,1.5719,2.2309,0.78,23.9422,22.8743,4.5795,1.2402,1.1375,0.9768,1.2531,911719.7565,348724.1823,245715.3663,96377895.4596,36863633.3109
002594.SZ,20250923,105.6,1.8667,2.6493,0.95,23.9173,22.8505,4.5748,1.2389,1.1363,0.9778,1.2544,911719.7565,348724.1823,245715.3663,96277606.2864,36825273.6509
002594.SZ,20250922,107.99,1.4096,2.0005,0.63,24.4586,23.3677,4.6783,1.267,1.1621,0.9562,1.2267,911719.7565,348724.1823,245715.3663,98456616.5044,37658724.4466
002594.SZ,20250919,109.09,1.3563,1.9249,0.61,24.7078,23.6057,4.726,1.2799,1.1739,0.9465,1.2143,911719.7565,348724.1823,245715.3663,99459508.2366,38042321.0471
002594.SZ,20250918,109.71,2.6784,3.8012,1.34,24.8482,23.7399,4.7528,1.2872,1.1806,0.9412,1.2074,911719.7565,348724.1823,245715.3663,100024774.4856,38258530.0401
002594.SZ,20250917,110.99,2.8138,3.9934,1.74,25.1381,24.0169,4.8083,1.3022,1.1943,0.9303,1.1935,911719.7565,348724.1823,245715.3663,101191775.7739,38704896.9935
002594.SZ,20250916,107.8,1.5289,2.1698,1.0,24.4156,23.3266,4.6701,1.2647,1.16,0.9579,1.2288,911719.7565,348724.1823,245715.3663,98283389.7507,37592466.8519
002594.SZ,20250915,108.7,2.7953,3.9672,2.16,24.6194,23.5213,4.7091,1.2753,1.1697,0.9499,1.2186,911719.7565,348724.1823,245715.3663,99103937.5316,37906318.616
002594.SZ,20250912,105.91,1.3074,1.8554,0.88,23.9875,22.9176,4.5882,1.2426,1.1397,0.975,1.2507,911719.7565,348724.1823,245715.3663,96560239.4109,36933378.1474
002594.SZ,20250911,106.59,1.5421,2.1886,0.94,24.1415,23.0648,4.6177,1.2505,1.147,0.9688,1.2428,911719.7565,348724.1823,245715.3663,97180208.8453,37170510.5914
002594.SZ,20250910,105.2,0.9244,1.312,0.49,23.8267,22.764,4.5574,1.2342,1.132,0.9816,1.2592,911719.7565,348724.1823,245715.3663,95912918.3838,36685783.978
002594.SZ,20250909,105.49,1.0944,1.5532,0.52,23.8924,22.8267,4.57,1.2376,1.1352,0.9789,1.2557,911719.7565,348724.1823,245715.3663,96177317.1132,36786913.9908
002594.SZ,20250908,106.25,1.5942,2.2625,0.63,24.0645,22.9912,4.6029,1.2466,1.1433,0.9719,1.2467,911719.7565,348724.1823,245715.3663,96870224.1281,37051944.3694
002594.SZ,20250905,107.26,2.2583,3.205,0.82,24.2933,23.2097,4.6467,1.2584,1.1542,0.9627,1.235,911719.7565,348724.1823,245715.3663,97791061.0822,37404155.7935
002594.SZ,20250904,104.0,2.3392,3.3199,0.86,23.5549,22.5043,4.5055,1.2202,1.1191,0.9929,1.2737,911719.7565,348724.1823,245715.3663,94818854.676,36267314.9592
002594.SZ,20250903,107.21,2.1083,2.9922,0.78,24.282,23.1989,4.6445,1.2578,1.1537,0.9631,1.2356,911719.7565,348724.1823,245715.3663,97745475.0944,37386719.5844
002594.SZ,20250902,110.02,2.2173,3.1468,0.84,24.9184,23.807,4.7663,1.2908,1.1839,0.9385,1.204,911719.7565,348724.1823,245715.3663,100307407.6101,38366634.5366
002594.SZ,20250901,109.7,3.8135,5.4122,1.7,24.8459,23.7377,4.7524,1.287,1.1805,0.9413,1.2075,911719.7565,348724.1823,245715.3663,100015657.2881,38255042.7983
002594.SZ,20250829,114.06,3.2831,4.6595,1.63,25.8334,23.1912,5.1633,1.3382,1.2643,0.9053,1.1614,911719.7565,348724.1823,245715.3663,103990755.4264,39775480.2331
002594.SZ,20250828,109.32,2.1866,3.1033,1.19,24.7599,22.2275,4.9487,1.2826,1.2118,0.9446,1.2117,911719.7565,348724.1823,245715.3663,99669203.7806,38122527.609
002594.SZ,20250827,110.68,1.9779,2.8071,1.19,25.0679,22.504,5.0103,1.2985,1.2268,0.933,1.1968,911719.7565,348724.1823,245715.3663,100909142.6494,38596792.497
002594.SZ,20250826,113.75,1.987,2.82,1.33,25.7632,23.1282,5.1492,1.3345,1.2609,0.9078,1.1645,911719.7565,348724.1823,245715.3663,103708122.3019,39667375.7366
002594.SZ,20250825,111.61,1.7539,2.4892,1.17,25.2785,22.6931,5.0524,1.3094,1.2371,0.9252,1.1869,911719.7565,348724.1823,245715.3663,101757042.023,38921105.9865
002594.SZ,20250822,110.66,2.1883,3.1057,1.73,25.0634,22.4999,5.0094,1.2983,1.2266,0.9331,1.1971,911719.7565,348724.1823,245715.3663,100890908.2543,38589818.0133
002594.SZ,20250821,107.1,1.2889,1.8292,1.03,24.2571,21.7761,4.8482,1.2565,1.1871,0.9641,1.2369,911719.7565,348724.1823,245715.3663,97645185.9212,37348359.9243
002594.SZ,20250820,108.25,1.1042,1.5671,0.86,24.5175,22.0099,4.9003,1.27,1.1999,0.9539,1.2237,911719.7565,348724.1823,245715.3663,98693663.6411,37749392.734
002594.SZ,20250819,107.63,1.1176,1.5861,0.9,24.3771,21.8839,4.8722,1.2627,1.193,0.9594,1.2308,911719.7565,348724.1823,245715.3663,98128397.3921,37533183.7409
002594.SZ,20250818,108.37,1.7758,2.5202,1.62,24.5447,22.0343,4.9057,1.2714,1.2012,0.9528,1.2224,911719.7565,348724.1823,245715.3663,98803070.0119,37791239.6359
002594.SZ,20250815,106.07,1.0362,1.4706,0.96,24.0238,21.5667,4.8016,1.2444,1.1757,0.9735,1.2489,911719.7565,348724.1823,245715.3663,96706114.572,36989174.0166
002594.SZ,20250814,106.37,1.2031,1.7075,1.11,24.0917,21.6277,4.8152,1.248,1.1791,0.9708,1.2453,911719.7565,348724.1823,245715.3663,96979630.4989,37093791.2713
002594.SZ,20250813,106.83,1.3186,1.8714,1.33,24.1959,21.7212,4.836,1.2534,1.1842,0.9666,1.24,911719.7565,348724.1823,245715.3663,97399021.5869,37254204.3951
002594.SZ,20250812,105.67,0.8952,1.2706,0.89,23.9332,21.4853,4.7835,1.2398,1.1713,0.9772,1.2536,911719.7565,348724.1823,245715.3663,96341426.6694,36849684.3436
002594.SZ,20250811,105.52,1.0229,1.4517,0.98,23.8992,21.4548,4.7767,1.238,1.1696,0.9786,1.2554,911719.7565,348724.1823,245715.3663,96204668.7059,36797375.7163
002594.SZ,20250808,103.93,0.9366,1.3292,0.88,23.5391,21.1316,4.7047,1.2193,1.152,0.9935,1.2746,911719.7565,348724.1823,245715.3663,94755034.293,36242904.2664
002594.SZ,20250807,105.33,1.2295,1.745,1.06,23.8562,21.4162,4.7681,1.2358,1.1675,0.9803,1.2576,911719.7565,348724.1823,245715.3663,96031441.9521,36731118.1217
002594.SZ,20250806,104.35,0.8764,1.2438,0.68,23.6342,21.217,4.7237,1.2243,1.1567,0.9895,1.2694,911719.7565,348724.1823,245715.3663,95137956.5908,36389368.423
002594.SZ,20250805,104.86,0.9703,1.377,0.74,23.7497,21.3206,4.7468,1.2302,1.1623,0.9847,1.2633,911719.7565,348724.1823,245715.3663,95602933.6666,36567217.756
002594.SZ,20250804,104.88,1.1841,1.6805,1.04,23.7542,21.3247,4.7477,1.2305,1.1625,0.9845,1.263,911719.7565,348724.1823,245715.3663,95621168.0617,36574192.2396
002594.SZ,20250801,105.8,1.039,1.4746,1.01,23.9626,21.5118,4.7894,1.2413,1.1727,0.976,1.252,911719.7565,348724.1823,245715.3663,96459950.2377,36895018.4873
002594.SZ,20250731,105.24,1.7191,2.4398,2.18,23.8358,21.3979,4.764,1.2347,1.1665,0.9812,1.2587,911719.7565,348724.1823,245715.3663,95949387.1741,36699732.9453
002594.SZ,20250730,108.7,1.505,2.1359,2.6,24.6194,22.1014,4.9206,1.2753,1.2049,0.9499,1.2186,911719.7565,348724.1823,245715.3663,99103937.5316,37906318.616
002594.SZ,20250729,111.42,1.1108,1.5765,2.32,25.2355,22.6545,5.0438,1.3072,1.235,0.9268,1.1889,911719.7565,348724.1823,245715.3663,101583815.2692,38854848.3919
002594.SZ,20250728,337.0,1.007,1.4292,0.67,46.0001,41.2953,8.6738,2.3828,2.2513,0.9192,0.9192,549466.5855,116241.3941,81905.1221,185170239.3135,39173349.8117
002594.SZ,20250725,337.93,1.351,1.9173,0.92,46.127,41.4092,8.6977,2.3894,2.2575,0.9167,0.9167,549466.5855,116241.3941,81905.1221,185681243.238,39281454.3082
002594.SZ,20250724,342.72,1.6265,2.3083,1.15,46.7808,41.9962,8.821,2.4233,2.2895,0.9039,0.9039,549466.5855,116241.3941,81905.1221,188313188.1826,39838250.586
002594.SZ,20250723,338.07,1.367,1.9401,1.03,46.1461,41.4264,8.7013,2.3904,2.2584,0.9163,0.9163,549466.5855,116241.3941,81905.1221,185758168.56,39297728.1034
002594.SZ,20250722,341.69,1.8424,2.6148,1.48,46.6402,41.87,8.7945,2.416,2.2826,0.9066,0.9066,549466.5855,116241.3941,81905.1221,187747237.5995,39718521.95
002594.SZ,20250721,334.12,1.3244,1.8796,1.04,45.6069,40.9424,8.5997,2.3625,2.232,0.9271,0.9271,549466.5855,116241.3941,81905.1221,183587775.5473,38838574.5967
002594.SZ,20250718,329.11,1.1774,1.671,0.89,44.9231,40.3285,8.4707,2.327,2.1986,0.9413,0.9413,549466.5855,116241.3941,81905.1221,180834947.9539,38256205.2123
002594.SZ,20250717,328.02,1.3497,1.9155,0.95,44.7743,40.1949,8.4427,2.3193,2.1913,0.9444,0.9444,549466.5855,116241.3941,81905.1221,180236029.3757,38129502.0927
002594.SZ,20250716,323.72,0.9528,1.3523,0.66,44.1874,39.668,8.332,2.2889,2.1625,0.9569,0.9569,549466.5855,116241.3941,81905.1221,177873323.0581,37629664.0981
002594.SZ,20250715,323.05,1.4005,1.9876,1.03,44.0959,39.5859,8.3148,2.2842,2.1581,0.9589,0.9589,549466.5855,116241.3941,81905.1221,177505180.4458,37551782.364
002594.SZ,20250714,318.49,1.4823,2.1038,1.22,43.4735,39.0271,8.1974,2.252,2.1276,0.9726,0.9726,549466.5855,116241.3941,81905.1221,174999612.8159,37021721.6069
002594.SZ,20250711,323.91,1.4476,2.0544,1.31,44.2133,39.6913,8.3369,2.2903,2.1638,0.9564,0.9564,549466.5855,116241.3941,81905.1221,177977721.7093,37651749.9629
002594.SZ,20250710,321.23,1.8068,2.5642,1.89,43.8475,39.3629,8.2679,2.2713,2.1459,0.9643,0.9643,549466.5855,116241.3941,81905.1221,176505151.2602,37340223.0267
002594.SZ,20250709,325.8,1.0464,1.485,1.16,44.4713,39.9229,8.3855,2.3036,2.1764,0.9508,0.9508,549466.5855,116241.3941,81905.1221,179016213.5559,37871446.1978
002594.SZ,20250708,326.88,1.0058,1.4275,1.17,44.6187,40.0552,8.4133,2.3113,2.1837,0.9477,0.9477,549466.5855,116241.3941,81905.1221,179609637.4682,37996986.9034
002594.SZ,20250707,328.59,0.7588,1.0769,0.8,44.8521,40.2647,8.4573,2.3234,2.1951,0.9427,0.9427,549466.5855,116241.3941,81905.1221,180549225.3294,38195759.6873
002594.SZ,20250704,331.0,0.8956,1.271,0.89,45.1811,40.56,8.5194,2.3404,2.2112,0.9359,0.9359,549466.5855,116241.3941,81905.1221,181873439.8005,38475901.4471
002594.SZ,20250703,334.56,1.0624,1.5078,0.92,45.667,40.9963,8.611,2.3656,2.235,0.9259,0.9259,549466.5855,116241.3941,81905.1221,183829540.8449,38889720.8101
002594.SZ,20250702,330.66,0.8024,1.1388,0.66,45.1347,40.5184,8.5106,2.338,2.2089,0.9368,0.9368,549466.5855,116241.3941,81905.1221,181686621.1614,38436379.3731
002594.SZ,20250701,331.34,0.7615,1.0807,0.58,45.2275,40.6017,8.5281,2.3428,2.2134,0.9349,0.9349,549466.5855,116241.3941,81905.1221,182060258.4396,38515423.5211
002594.SZ,20250630,331.91,1.2388,1.7582,1.02,45.3053,40.6716,8.5428,2.3468,2.2173,0.9333,0.9333,549466.5855,116241.3941,81905.1221,182373454.3933,38581681.1157
002594.SZ,20250627,334.24,1.1925,1.6924,1.08,45.6233,40.9571,8.6028,2.3633,2.2328,0.9268,0.9268,549466.5855,116241.3941,81905.1221,183653711.5375,38852523.564
002594.SZ,20250626,337.44,1.763,2.5021,1.9,46.0601,41.3492,8.6851,2.3859,2.2542,0.918,0.918,549466.5855,116241.3941,81905.1221,185412004.6111,39224496.0251
002594.SZ,20250625,349.27,1.0817,1.5352,1.22,47.6749,42.7988,8.9896,2.4696,2.3332,0.8869,0.8869,549466.5855,116241.3941,81905.1221,191912194.3176,40599631.7173
002594.SZ,20250624,343.38,1.2449,1.7668,1.64,46.8709,42.0771,8.838,2.4279,2.2939,0.9021,0.9021,549466.5855,116241.3941,81905.1221,188675836.129,39914969.9061
002594.SZ,20250623,338.2,0.8138,1.1549,1.05,46.1639,41.4423,8.7047,2.3913,2.2593,0.916,0.916,549466.5855,116241.3941,81905.1221,185829599.2161,39312839.4846
002594.SZ,20250620,340.25,0.6326,0.8978,0.63,46.4437,41.6935,8.7575,2.4058,2.273,0.9104,0.9104,549466.5855,116241.3941,81905.1221,186956005.7164,39551134.3425
002594.SZ,20250619,340.5,0.8636,1.2256,0.8,46.4778,41.7242,8.7639,2.4076,2.2746,0.9098,0.9098,549466.5855,116241.3941,81905.1221,187093372.3628,39580194.6911
002594.SZ,20250618,346.95,0.8852,1.2563,0.71,47.3582,42.5145,8.9299,2.4532,2.3177,0.8929,0.8929,549466.5855,116241.3941,81905.1221,190637431.8392,40329951.683
002594.SZ,20250617,343.74,0.6026,0.8552,0.42,46.9201,42.1212,8.8473,2.4305,2.2963,0.9012,0.9012,549466.5855,116241.3941,81905.1221,188873644.0998,39956816.8079
002594.SZ,20250616,344.43,0.8799,1.2488,0.52,47.0142,42.2057,8.865,2.4354,2.3009,0.8994,0.8994,549466.5855,116241.3941,81905.1221,189252776.0438,40037023.3699
002594.SZ,20250613,346.0,1.8086,2.5669,1.22,47.2285,42.3981,8.9055,2.4465,2.3114,0.8953,0.8953,549466.5855,116241.3941,81905.1221,190115438.583,40219522.3586
002594.SZ,20250612,353.24,1.2392,1.7587,0.87,48.2168,43.2853,9.0918,2.4977,2.3597,0.877,0.877,549466.5855,116241.3941,81905.1221,194093576.662,41061110.0519
002594.SZ,20250611,361.99,1.7473,2.4798,1.32,49.4112,44.3575,9.317,2.5595,2.4182,0.8558,0.8558,549466.5855,116241.3941,81905.1221,198901409.2851,42078222.2503
002594.SZ,20250610,353.13,1.4778,2.0974,1.1,26.6601,23.9334,4.9147,1.381,1.3048,0.8772,0.8772,303906.5855,116241.3941,81905.1221,107318532.5376,41048323.4985
002594.SZ,20250609,348.14,2.1945,3.1145,1.78,26.2834,23.5952,4.8453,1.3615,1.2863,0.8898,0.8898,303906.5855,116241.3941,81905.1221,105802038.676,40468278.942
002594.SZ,20250606,359.96,0.7717,1.0951,0.55,27.1758,24.3963,5.0098,1.4077,1.33,0.8606,0.8606,303906.5855,116241.3941,81905.1221,109394214.5166,41842252.2202
002594.SZ,20250605,360.75,0.9344,1.3261,0.61,27.2354,24.4498,5.0208,1.4108,1.3329,0.8587,0.8587,303906.5855,116241.3941,81905.1221,109634300.7191,41934082.9216
002594.SZ,20250604,360.52,1.2638,1.7936,0.76,27.218,24.4342,5.0176,1.4099,1.3321,0.8593,0.8593,303906.5855,116241.3941,81905.1221,109564402.2045,41907347.4009
002594.SZ,20250603,356.0,1.5648,2.2208,0.83,26.8768,24.1279,4.9547,1.3922,1.3154,0.8702,0.8702,303906.5855,116241.3941,81905.1221,108190744.438,41381936.2996
002594.SZ,20250530,352.3,1.6393,2.3266,0.83,26.5974,23.8771,4.9032,1.3778,1.3017,0.8793,0.8793,303906.5855,116241.3941,81905.1221,107066290.0717,40951843.1414
002594.SZ,20250529,361.13,1.6523,2.3449,0.87,27.2641,24.4756,5.0261,1.4123,1.3343,0.8578,0.8578,303906.5855,116241.3941,81905.1221,109749785.2216,41978254.6513
002594.SZ,20250528,362.88,1.5292,2.1702,0.79,27.3962,24.5942,5.0504,1.4191,1.3408,0.8537,0.8537,303906.5855,116241.3941,81905.1221,110281621.7462,42181677.091
002594.SZ,20250527,372.41,1.981,2.8115,1.08,28.1157,25.2401,5.1831,1.4564,1.376,0.8318,0.8318,303906.5855,116241.3941,81905.1221,113177851.5061,43289457.5768
002594.SZ,20250526,381.0,2.663,3.7794,1.69,28.7642,25.8223,5.3026,1.49,1.4077,0.8131,0.8131,303906.5855,116241.3941,81905.1221,115788409.0755,44287971.1521
002594.SZ,20250523,405.0,2.0266,2.8762,1.3,30.5761,27.4489,5.6366,1.5839,1.4964,0.7649,0.7649,303906.5855,116241.3941,81905.1221,123082167.1275,47077764.6105
002594.SZ,20250522,398.8,1.2591,1.787,0.75,30.108,27.0287,5.5503,1.5596,1.4735,0.7768,0.7768,303906.5855,116241.3941,81905.1221,121197946.2974,46357067.9671
002594.SZ,20250521,400.0,1.7161,2.4355,1.1,30.1986,27.11,5.567,1.5643,1.4779,0.7744,0.7744,303906.5855,116241.3941,81905.1221,121562634.2,46496557.64
002594.SZ,20250520,394.8,1.4805,2.1012,0.99,29.8061,26.7576,5.4947,1.544,1.4587,0.7846,0.7846,303906.5855,116241.3941,81905.1221,119982319.9554,45892102.3907
002594.SZ,20250519,382.81,1.3883,1.9702,0.93,28.9008,25.9449,5.3278,1.4971,1.4144,0.8092,0.8092,303906.5855,116241.3941,81905.1221,116338479.9953,44498368.0754
002594.SZ,20250516,389.17,1.9729,2.7999,1.47,29.381,26.376,5.4163,1.522,1.4379,0.796,0.796,303906.5855,116241.3941,81905.1221,118271325.879,45237663.3419
002594.SZ,20250515,376.8,1.7963,2.5493,1.59,28.4471,25.5376,5.2442,1.4736,1.3922,0.8221,0.8221,303906.5855,116241.3941,81905.1221,114512001.4164,43799757.2969
002594.SZ,20250514,373.1,1.1673,1.6567,1.08,28.1678,25.2868,5.1927,1.4591,1.3785,0.8303,0.8303,303906.5855,116241.3941,81905.1221,113387547.0501,43369664.1387
002594.SZ,20250513,366.5,1.1336,1.6088,1.02,27.6695,24.8395,5.1008,1.4333,1.3542,0.8452,0.8452,303906.5855,116241.3941,81905.1221,111381763.5858,42602470.9377
002594.SZ,20250512,370.28,1.3882,1.9702,1.31,27.9549,25.0957,5.1534,1.4481,1.3681,0.8366,0.8366,303906.5855,116241.3941,81905.1221,112530530.4789,43041863.4073
002594.SZ,20250509,363.22,1.2364,1.7548,1.22,27.4219,24.6172,5.0552,1.4205,1.342,0.8529,0.8529,303906.5855,116241.3941,81905.1221,110384949.9853,42221199.165
002594.SZ,20250508,359.28,0.7173,1.018,0.61,27.1244,24.3502,5.0003,1.4051,1.3275,0.8622,0.8622,303906.5855,116241.3941,81905.1221,109187558.0384,41763208.0722
002594.SZ,20250507,359.2,0.9363,1.3289,0.76,27.1184,24.3448,4.9992,1.4047,1.3272,0.8624,0.8624,303906.5855,116241.3941,81905.1221,109163245.5116,41753908.7607
002594.SZ,20250506,359.96,1.2757,1.8106,1.04,27.1758,24.3963,5.0098,1.4077,1.33,0.8606,0.8606,303906.5855,116241.3941,81905.1221,109394214.5166,41842252.2202
002594.SZ,20250430,353.09,1.1225,1.5931,0.78,26.6571,23.9307,4.9142,1.3809,1.3046,0.8773,0.8773,303906.5855,116241.3941,81905.1221,107306376.2742,41043673.8428
002594.SZ,20250429,355.0,1.0236,1.4527,0.72,26.8013,24.0601,4.9407,1.3883,1.3117,0.8726,0.8726,303906.5855,116241.3941,81905.1221,107886837.8525,41265694.9055
002594.SZ,20250428,360.0,1.5466,2.195,1.25,27.1788,24.399,5.0103,1.4079,1.3301,0.8605,0.8605,303906.5855,116241.3941,81905.1221,109406370.78,41846901.876
002594.SZ,20250425,370.83,1.1517,1.6344,1.01,27.9964,27.9964,6.6154,1.4502,1.4502,0.8354,0.8354,303906.5855,116241.3941,81905.1221,112697679.101,43105796.1741
002594.SZ,20250424,366.0,1.2981,1.8423,1.27,27.6318,27.6318,6.5292,1.4313,1.4313,0.8464,0.8464,303906.5855,116241.3941,81905.1221,111229810.293,42544350.2406
002594.SZ,20250423,371.99,2.1329,3.027,2.59,28.084,28.084,6.6361,1.4548,1.4548,0.8328,0.8328,303906.5855,116241.3941,81905.1221,113050210.7401,43240636.1913
